"112年10月13日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","1314  ","中石化          ","29,619,000","4,166,000","25,453,000","0","0","0","29,619,000","4,166,000","25,453,000",
" ","2201  ","裕隆            ","28,868,100","11,282,040","17,586,060","0","0","0","28,868,100","11,282,040","17,586,060",
" ","2363  ","矽統            ","72,821,333","57,418,000","15,403,333","0","0","0","72,821,333","57,418,000","15,403,333",
"*","2330  ","台積電          ","25,632,503","18,682,178","6,950,325","0","0","0","25,632,503","18,682,178","6,950,325",
" ","2607  ","榮運            ","7,679,000","1,108,000","6,571,000","0","0","0","7,679,000","1,108,000","6,571,000",
"*","2317  ","鴻海            ","18,692,170","12,557,336","6,134,834","0","0","0","18,692,170","12,557,336","6,134,834",
" ","2303  ","聯電            ","22,541,800","18,325,499","4,216,301","0","0","0","22,541,800","18,325,499","4,216,301",
" ","2388  ","威盛            ","9,519,004","5,804,000","3,715,004","0","0","0","9,519,004","5,804,000","3,715,004",
" ","2454  ","聯發科          ","6,841,620","3,657,396","3,184,224","0","0","0","6,841,620","3,657,396","3,184,224",
" ","2352  ","佳世達          ","3,208,000","680,000","2,528,000","0","0","0","3,208,000","680,000","2,528,000",
" ","3036  ","文曄            ","4,802,247","2,439,000","2,363,247","0","0","0","4,802,247","2,439,000","2,363,247",
" ","1722  ","台肥            ","2,160,000","222,000","1,938,000","0","0","0","2,160,000","222,000","1,938,000",
" ",="06676U","臺股指法興2B售09","2,026,000","106,000","1,920,000","0","0","0","2,026,000","106,000","1,920,000",
" ","6257  ","矽格            ","3,057,000","1,222,000","1,835,000","0","0","0","3,057,000","1,222,000","1,835,000",
" ","3006  ","晶豪科          ","4,896,000","3,113,000","1,783,000","0","0","0","4,896,000","3,113,000","1,783,000",
" ","4960  ","誠美材          ","2,195,000","436,000","1,759,000","0","0","0","2,195,000","436,000","1,759,000",
" ","6239  ","力成            ","2,306,054","581,050","1,725,004","0","0","0","2,306,054","581,050","1,725,004",
" ",="0050  ","元大台灣50      ","2,441,509","814,717","1,626,792","0","0","0","2,441,509","814,717","1,626,792",
" ","3711  ","日月光投控      ","6,271,410","4,792,048","1,479,362","0","0","0","6,271,410","4,792,048","1,479,362",
" ","2890  ","永豐金          ","9,866,078","8,397,332","1,468,746","0","0","0","9,866,078","8,397,332","1,468,746",
" ","2337  ","旺宏            ","2,380,588","917,000","1,463,588","0","0","0","2,380,588","917,000","1,463,588",
" ",="00882 ","中信中國高股息  ","2,263,500","810,000","1,453,500","0","0","0","2,263,500","810,000","1,453,500",
" ","2355  ","敬鵬            ","2,908,100","1,480,000","1,428,100","0","0","0","2,908,100","1,480,000","1,428,100",
" ","1718  ","中纖            ","1,436,000","108,000","1,328,000","0","0","0","1,436,000","108,000","1,328,000",
" ","3715  ","定穎投控        ","11,908,020","10,594,000","1,314,020","0","0","0","11,908,020","10,594,000","1,314,020",
" ",="00930 ","永豐ESG低碳高息 ","1,226,200","0","1,226,200","0","0","0","1,226,200","0","1,226,200",
" ","2465  ","麗臺            ","1,652,000","543,000","1,109,000","0","0","0","1,652,000","543,000","1,109,000",
" ","3702  ","大聯大          ","4,054,167","2,951,484","1,102,683","0","0","0","4,054,167","2,951,484","1,102,683",
" ","1712  ","興農            ","1,191,000","97,000","1,094,000","0","0","0","1,191,000","97,000","1,094,000",
" ","2897  ","王道銀行        ","1,443,000","400,000","1,043,000","0","0","0","1,443,000","400,000","1,043,000",
" ","2364  ","倫飛            ","1,599,500","576,000","1,023,500","0","0","0","1,599,500","576,000","1,023,500",
" ",="00680L","元大美債20正2   ","2,922,000","1,917,000","1,005,000","0","0","0","2,922,000","1,917,000","1,005,000",
" ","2458  ","義隆            ","1,563,000","582,000","981,000","0","0","0","1,563,000","582,000","981,000",
" ","1402  ","遠東新          ","3,223,336","2,249,282","974,054","0","0","0","3,223,336","2,249,282","974,054",
" ","8150  ","南茂            ","1,367,000","400,000","967,000","0","0","0","1,367,000","400,000","967,000",
" ",="061624","鴻海法興34購02  ","949,000","0","949,000","0","0","0","949,000","0","949,000",
" ","2427  ","三商電          ","2,622,000","1,677,000","945,000","0","0","0","2,622,000","1,677,000","945,000",
" ","9927  ","泰銘            ","1,182,000","266,000","916,000","0","0","0","1,182,000","266,000","916,000",
" ","6770  ","力積電          ","3,730,600","2,832,938","897,662","0","0","0","3,730,600","2,832,938","897,662",
" ","3034  ","聯詠            ","1,541,094","654,208","886,886","0","0","0","1,541,094","654,208","886,886",
" ","2027  ","大成鋼          ","1,552,000","701,000","851,000","0","0","0","1,552,000","701,000","851,000",
" ","9938  ","百和            ","1,385,066","554,000","831,066","0","0","0","1,385,066","554,000","831,066",
" ","6605  ","帝寶            ","1,641,000","826,007","814,993","0","0","0","1,641,000","826,007","814,993",
" ","6415  ","矽力*-KY        ","4,959,280","4,170,391","788,889","0","0","0","4,959,280","4,170,391","788,889",
" ","3044  ","健鼎            ","3,258,002","2,504,000","754,002","0","0","0","3,258,002","2,504,000","754,002",
" ","4919  ","新唐            ","1,014,000","270,000","744,000","0","0","0","1,014,000","270,000","744,000",
" ","5521  ","工信            ","950,000","221,000","729,000","0","0","0","950,000","221,000","729,000",
" ","1102  ","亞泥            ","2,596,177","1,882,156","714,021","0","0","0","2,596,177","1,882,156","714,021",
" ",="00891 ","中信關鍵半導體  ","917,000","213,000","704,000","0","0","0","917,000","213,000","704,000",
" ","6116  ","彩晶            ","1,312,000","612,000","700,000","0","0","0","1,312,000","612,000","700,000",
" ","5469  ","瀚宇博          ","1,258,000","563,000","695,000","0","0","0","1,258,000","563,000","695,000",
